39,inspect-vessel,"[1.5060231685638428, 2.0962138175964355]",vessel-obj3
40,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
41,move,"[6.513132095336914, -5.48906135559082]",waypoint
42,register-radiation,"[6.513132095336914, -5.48906135559082]",radiation
43,inspect-vessel,"[6.513132095336914, -5.48906135559082]",vessel-obj6
44,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
45,move,"[-0.5821393728256226, -3.5115349292755127]",waypoint
46,register-radiation,"[-0.5821393728256226, -3.5115349292755127]",radiation
47,inspect-vessel,"[-0.5821393728256226, -3.5115349292755127]",vessel-obj52
48,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
49,move,"[2.3570947647094727, -8.124214172363281]",waypoint
50,register-radiation,"[2.3570947647094727, -8.124214172363281]",radiation
51,inspect-vessel,"[2.3570947647094727, -8.124214172363281]",vessel-obj42
52,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
53,move,"[-0.3044536411762237, -6.4706220626831055]",waypoint
54,register-radiation,"[-0.3044536411762237, -6.4706220626831055]",radiation
55,inspect-vessel,"[-0.3044536411762237, -6.4706220626831055]",vessel-obj4
56,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
57,move,"[2.546211004257202, -1.705905199050903]",waypoint
58,register-radiation,"[2.546211004257202, -1.705905199050903]",radiation
59,inspect-vessel,"[2.546211004257202, -1.705905199050903]",vessel-obj5
60,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
61,move,"[-3.813283443450928, -7.6300225257873535]",waypoint
62,register-radiation,"[-3.813283443450928, -7.6300225257873535]",radiation
63,open-valve,"[-3.813283443450928, -7.6300225257873535]",pipe-obj8
64,inspect-pipes,"[-3.813283443450928, -7.6300225257873535]",pipe-obj8
65,close-valve,"[-3.813283443450928, -7.6300225257873535]",pipe-obj8
66,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
67,move,"[5.855508804321289, -6.34856653213501]",waypoint
68,register-radiation,"[5.855508804321289, -6.34856653213501]",radiation
69,open-valve,"[5.855508804321289, -6.34856653213501]",pipe-obj10
70,inspect-pipes,"[5.855508804321289, -6.34856653213501]",pipe-obj10
71,close-valve,"[5.855508804321289, -6.34856653213501]",pipe-obj10
72,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
73,move,"[5.874478340148926, -3.491962432861328]",waypoint
74,register-radiation,"[5.874478340148926, -3.491962432861328]",radiation
75,open-valve,"[5.874478340148926, -3.491962432861328]",pipe-obj9
76,inspect-pipes,"[5.874478340148926, -3.491962432861328]",pipe-obj9
77,close-valve,"[5.874478340148926, -3.491962432861328]",pipe-obj9
78,move,"[-7.608221530914307, 3.3208255767822266]",waypoint
79,move,"[-0.5453185439109802, -4.9900994300842285]",waypoint
80,register-radiation,"[-0.5453185439109802, -4.9900994300842285]",radiation
81,open-valve,"[-0.5453185439109802, -4.9900994300842285]",pipe-obj11
82,inspect-pipes,"[-0.5453185439109802, -4.9900994300842285]",pipe-obj11
83,close-valve,"[-0.5453185439109802, -4.9900994300842285]",pipe-obj11
